FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
240114;2200;6;;;
240114;2300;4;;;
240115;0000;8;;;
240115;0100;5;;;
240115;0200;3;;;
240115;0300;1;;;
240115;0400;1;;;
240115;0500;1;;;
240115;0600;5;;;
240115;0700;5;;;
240115;0800;4;;;
240115;0900;4;;;
240115;1000;2;;;
240115;1100;4;;;
240115;1200;7;;;
240115;1300;5;;;
240115;1400;5;;;
240115;1500;5;;;
240115;1600;3;;;
240115;1700;1;;;
240115;1800;1;;;
240115;1900;4;;;
240115;2000;5;;;
240115;2100;5;;;
240115;2200;7;;;
240115;2300;6;;;
240116;0000;4;;;
240116;0100;3;;;
240116;0200;1;;;
240116;0300;7;;;
240116;0400;7;;;
240116;0500;9;;;
240116;0600;14;;;
240116;0700;8;;;
240116;0800;11;;;
240116;0900;9;;;
240116;1000;6;;;
240116;1100;3;;;
